doi,status_code,final_url,domain,resolved,redirect_count,redirect_chain,error
10.1002/adma.202512235,403,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202512235,advanced.onlinelibrary.wiley.com,True,1,https://doi.org/10.1002/adma.202512235 -> https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202512235,
10.1021/acsnano.5c12080,403,https://pubs.acs.org/doi/10.1021/acsnano.5c12080,pubs.acs.org,True,1,https://doi.org/10.1021/acsnano.5c12080 -> https://pubs.acs.org/doi/10.1021/acsnano.5c12080,
10.1038/s41467-025-65874-x,200,https://www.nature.com/articles/s41467-025-65874-x,nature.com,True,1,https://doi.org/10.1038/s41467-025-65874-x -> https://www.nature.com/articles/s41467-025-65874-x,
10.1021/jacs.5c10972,403,https://pubs.acs.org/doi/10.1021/jacs.5c10972,pubs.acs.org,True,1,https://doi.org/10.1021/jacs.5c10972 -> https://pubs.acs.org/doi/10.1021/jacs.5c10972,
10.1016/j.jconrel.2025.114414,200,https://linkinghub.elsevier.com/retrieve/pii/S0168365925010284,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.jconrel.2025.114414 -> https://linkinghub.elsevier.com/retrieve/pii/S0168365925010284,
10.1021/acsami.5c16272,403,https://pubs.acs.org/doi/10.1021/acsami.5c16272,pubs.acs.org,True,1,https://doi.org/10.1021/acsami.5c16272 -> https://pubs.acs.org/doi/10.1021/acsami.5c16272,
10.1002/adhm.202503748,403,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adhm.202503748,advanced.onlinelibrary.wiley.com,True,1,https://doi.org/10.1002/adhm.202503748 -> https://advanced.onlinelibrary.wiley.com/doi/10.1002/adhm.202503748,
10.1021/jacs.5c14194,403,https://pubs.acs.org/doi/10.1021/jacs.5c14194,pubs.acs.org,True,1,https://doi.org/10.1021/jacs.5c14194 -> https://pubs.acs.org/doi/10.1021/jacs.5c14194,
10.1186/s12951-025-03844-7,200,https://link.springer.com/article/10.1186/s12951-025-03844-7,link.springer.com,True,1,https://doi.org/10.1186/s12951-025-03844-7 -> https://link.springer.com/article/10.1186/s12951-025-03844-7,
10.1016/j.drudis.2025.104532,200,https://linkinghub.elsevier.com/retrieve/pii/S1359644625002454,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.drudis.2025.104532 -> https://linkinghub.elsevier.com/retrieve/pii/S1359644625002454,
10.1021/acs.langmuir.5c04076,403,https://pubs.acs.org/doi/10.1021/acs.langmuir.5c04076,pubs.acs.org,True,1,https://doi.org/10.1021/acs.langmuir.5c04076 -> https://pubs.acs.org/doi/10.1021/acs.langmuir.5c04076,
10.1016/j.jcis.2025.139420,200,https://linkinghub.elsevier.com/retrieve/pii/S0021979725028127,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.jcis.2025.139420 -> https://linkinghub.elsevier.com/retrieve/pii/S0021979725028127,
